month,STC_Quadrant,N
2022-08-01,LE,93106
2022-09-01,LE,84591
2022-10-01,LE,82005
2022-11-01,LE,78570
2022-12-01,LE,64967
2018-01-01,LE,51114
2018-02-01,LE,50064
2018-03-01,LE,56760
2018-04-01,LE,59969
2018-05-01,LE,64392
2018-06-01,LE,58436
2018-07-01,LE,57891
2018-08-01,LE,62497
2018-09-01,LE,57734
2018-10-01,LE,56222
2018-11-01,LE,53968
2018-12-01,LE,41913
2019-01-01,LE,57844
2019-02-01,LE,55584
2019-03-01,LE,65598
2019-04-01,LE,63791
2019-05-01,LE,69742
2019-06-01,LE,60014
2019-07-01,LE,62598
2019-08-01,LE,67880
2019-09-01,LE,57495
2019-10-01,LE,62929
2019-11-01,LE,55233
2019-12-01,LE,39989
