Dais_quadrant,tf,tf_adjusted
HE-HC,0.016480862136065425,0.34259971008487083
HE-HC,0.057340304759973114,0.47431422328520717
HE-HC,0.02585214734299005,0.3853007257362875
HE-HC,0.016187387878567525,0.3409973841733427
HE-HC,0.002286001424654479,0.20462037926732873
HE-HC,0.06011787556593658,0.4802045232137872
HE-HC,0.016278364898391875,0.3414963853820105
HE-HC,0.029652965060096192,0.3993399903422409
HE-HC,0.0097938881377216,0.2990984755180291
HE-HC,0.030259152443083522,0.40145407560818386
HE-HC,0.00415233466108696,0.23910114465403368
HE-HC,2.9755028885203793e-4,0.12020049915797273
HE-HC,1.1363975415335367e-4,0.0935054256078967
HE-HC,5.714595958500783e-4,0.14251335399541268
HE-HC,0.005748182456858876,0.260275043792613
HE-HC,0.0015671525350387883,0.18542497788026102
HE-HC,0.04112112383684331,0.4349022139517666
HE-HC,0.018892568367681505,0.3550275196496322
HE-HC,7.090664143657605e-4,0.15076601819664753
HE-HC,0.031287616674359496,0.4049703348896887
HE-HC,0.011759839580449202,0.31372039721233713
HE-HC,0.0014380238617397122,0.18131110134535514
HE-HC,0.031590873407107325,0.40599082113617496
HE-HC,0.03359546562707215,0.4125604156774529
HE-HC,0.020601892876352612,0.3631420587060926
HE-HC,7.666199770861821e-4,0.15386741016367522
HE-HC,0.007780491690031837,0.28166731111624504
HE-HC,0.0018603007100283578,0.1939094227937729
HE-HC,0.0023543157101498235,0.20619849597255852
HE-HC,0.011974564912185166,0.31520500159110065
HE-HC,0.005558402437010234,0.25800508887440826
HE-HC,0.007540331922646055,0.2793725334298997
HE-HC,0.009317644634304173,0.2952335414874504
HE-HC,0.005907636803432736,0.2621398339252443
HE-HC,0.01793942919582999,0.35026446045064014
HE-HC,0.002800722664054963,0.2157544386630857
HE-HC,0.0064124125263291245,0.26780798439509956
HE-HC,8.673794721604612e-5,0.08714173575607588
HE-HC,0.012477873263794065,0.31860929341864536
HE-HC,0.009788018652571642,0.2990516965225923
HE-HC,0.01740432779965882,0.34750792429124205
HE-HC,0.014795830774264981,0.3330931334689821
HE-HC,0.004994442738851769,0.2509027881747476
HE-HC,0.012218148545908422,0.3168654995280323
HE-HC,0.014954469914568013,0.3340212847518009
HE-HC,0.005114930225680074,0.25246817136542193
HE-HC,0.004391679222201915,0.24262291862853347
HE-HC,0.0041016288310414895,0.23833587911587364
HE-HC,0.003936794123080169,0.23579881233711225
HE-HC,0.007029849755853874,0.27430919324308844
HE-HC,8.739011223270813e-5,0.08731221325051819
HE-HC,4.910802575464867e-4,0.1369868456079702
HE-HC,0.007646145696599465,0.28039016664383887
HE-HC,0.0012588415234118275,0.17512369987527612
HE-HC,0.001334655706598785,0.17781632896176502
HE-HC,0.002934090409962342,0.2183891530166295
HE-HC,0.024993082974792028,0.3819182944523945
HE-HC,6.164589819997564e-4,0.14535984935389307
HE-HC,0.0015154684574683248,0.18380960585932254
HE-HC,0.0066737676567564215,0.270614001788888
HE-HC,0.0015011208271017607,0.18335396543157795
HE-HC,0.019244900517933154,0.3567432446770393
HE-HC,0.00860140440475513,0.28913616863110225
HE-HC,1.0548769144507866e-4,0.09170687359355399
HE-HC,0.002226654408138237,0.20322086678389936
HE-HC,2.3233378718583785e-4,0.11268644976401153
HE-HC,0.0028367547812255386,0.21647524846810762
HE-HC,0.0025013789214071045,0.20948424271080973
HE-HC,0.01456431219334997,0.33172529522474553
HE-HC,0.005453566910581817,0.25672649637997963
HE-HC,0.0023432289048665694,0.20594470275397242
HE-HC,0.004280648128115209,0.24100729530285317
HE-HC,0.008097933011892065,0.28462153633665366
HE-HC,0.016957105639482852,0.3451556235357075
HE-HC,0.001088626454063045,0.16861001185237828
HE-HC,5.445577889127708e-4,0.14073160424093786
HE-HC,0.0039415223194509685,0.23587267030774908
HE-HC,4.062988053804266e-4,0.13037788222486704
HE-HC,0.001373133442581843,0.17913985484421727
HE-HC,1.5276965515307372e-4,0.10101035597528438
HE-HC,0.002278827609471197,0.20445264474367128
HE-HC,2.911916799395834e-4,0.11952494122329452
HE-HC,2.111384241443228e-4,0.10990869298916069
HE-HC,7.506419341779631e-4,0.15302415587073648
HE-HC,1.1086805283254017e-5,0.050947851750341396
HE-HC,2.9755028885203793e-4,0.12020049915797273
HE-HC,9.456392741599014e-6,0.04887668814822213
HE-HC,0.007925109282476635,0.2830240139781103
HE-HC,7.32707396219758e-4,0.15206169261915523
HE-HC,0.0011398214078710122,0.17064384964638601
HE-HC,6.976535265741755e-4,0.15012906504160875
HE-HC,3.895055562013801e-4,0.12894986610036777
HE-HC,5.918397526207659e-5,0.07887027441028921
HE-HC,7.558592543112591e-4,0.15330095061293386
HE-HC,3.873860198972286e-4,0.12876641558919896
HE-HC,3.6847323441403057e-5,0.06969761902354595
HE-HC,8.919987015394518e-4,0.16007022827089143
HE-HC,5.869485149958008e-6,0.043157874672037716
HE-HC,0.003302237561868042,0.22522934978256312
HE-HC,3.358649835809305e-4,0.12405990011966117
HE-HC,1.5815001654053524e-4,0.10192670439230782
HE-HC,6.759690397701641e-4,0.14889732095592806
HE-HC,3.1776740436855995e-4,0.12227989776225413
HE-HC,5.706443895792508e-6,0.042841820921771384
HE-HC,3.831469472889256e-5,0.070411383072435
HE-HC,7.891196701610211e-5,0.08501811758975174
HE-HC,0.010953600578600804,0.307960508329999
HE-HC,0.002411869272870245,0.2075019707164418
HE-HC,3.472778713725155e-5,0.06862857100459177
HE-HC,4.827651535840462e-4,0.1363778340769423
HE-HC,1.341829521782067e-4,0.09764862455724144
HE-HC,3.146696205394155e-5,0.06688551345131492
HE-HC,2.060841452651923e-4,0.10921606780224831
HE-HC,7.35316056286406e-5,0.083465998458573
HE-HC,2.8972430865209395e-4,0.11936749742094643
HE-HC,2.3738806606496835e-4,0.113320980101314
HE-HC,1.8439965846118078e-4,0.10609343075336766
HE-HC,0.004862053240469383,0.24915025188995532
HE-HC,3.1793044562272545e-5,0.06706566749702014
HE-HC,0.003385388601492447,0.22669549974285405
HE-HC,4.579828829508902e-4,0.13451550949504532
HE-HC,0.0023960542712161918,0.20714610314152856
HE-HC,3.7744050339313305e-4,0.1278955635503705
HE-HC,1.2065052808247018e-5,0.05208435999103197
HE-HC,0.0053143296795244805,0.25499994091852196
HE-HC,1.0222686636176866e-4,0.09095862490657998
HE-HC,6.60317079370276e-5,0.08115575907539015
HE-HC,0.0034018557681631625,0.22698269000413313
HE-HC,8.727598335479228e-4,0.15916217183838124
HE-HC,0.0035979943969242593,0.2303268436481366
HE-HC,4.601024192550417e-4,0.13467765995981598
HE-HC,1.6271517165716924e-4,0.10268631168197542
HE-HC,1.7200852314460275e-4,0.10418525898590122
HE-HC,1.283134670282487e-4,0.0965156788501609
HE-HC,3.54614727809963e-4,0.1258307820896464
HE-HC,1.1315063039085716e-4,0.09340025052551192
HE-HC,8.505862229814148e-4,0.15809705772327273
HE-HC,0.0010900938253505345,0.1686692803471902
HE-HC,0.0016530752759840069,0.18802541369969172
HE-HC,6.032526404123509e-6,0.043467504809906334
HE-HC,6.195567658289009e-6,0.04377101033769286
HE-HC,6.032526404123509e-6,0.043467504809906334
HE-HC,8.763467411395639e-4,0.15933258470739015
HE-HC,8.677055546687923e-4,0.1589211638249802
HE-HC,4.956454126631207e-5,0.07530337385684643
HE-HC,5.476555727419153e-4,0.1409400453924185
HE-HC,0.0013419925630362324,0.17807085234804948
HE-HC,7.256966222906416e-4,0.15168072129594018
HE-HC,1.0988980530754716e-4,0.09269035766268809
HE-HC,5.918397526207659e-5,0.07887027441028921
HE-HC,2.4554012877324335e-4,0.11432369278193298
HE-HC,8.461841091189462e-5,0.0865810575178518
HE-HC,7.35316056286406e-5,0.083465998458573
HE-HC,6.211871783705559e-5,0.07987250615978302
HE-HC,2.034754851985443e-4,0.10885366059867792
HE-HC,2.4325755121492636e-4,0.11404544457235098
HE-HC,1.1200934161169866e-4,0.09315352874123543
HE-HC,7.09229455619926e-5,0.08268306692770172
HE-HC,4.8586293741319075e-5,0.07491273065172818
HE-HC,6.91621000170052e-4,0.14978927367335598
HE-HC,6.136872806789429e-4,0.1451890425353499
HE-HC,3.570603466224455e-5,0.06912780119974224
HE-HC,9.961820629512064e-5,0.09034721947090056
HE-HC,9.91453866580407e-4,0.16454649309885605
HE-HC,4.760804621632607e-4,0.13588258991009064
HE-HC,2.038015677068753e-5,0.05971886495830699
HE-HC,3.7988612220561556e-5,0.07025453791357282
HE-HC,0.0017820409080289176,0.19174711913622672
HE-HC,5.217320133296008e-6,0.04185175694855849
HE-HC,3.2331080701018697e-4,0.12283291303267736
HE-HC,0.00613866626058525,0.2647767767259442
HE-HC,0.002053993719976972,0.19898591391815704
HE-HC,0.0010871590827755556,0.1685506842834607
HE-HC,7.956413203276412e-5,0.08520088538439577
HE-HC,1.9075826737363528e-5,0.058697153664856214
HE-HC,8.440645728147948e-4,0.15777988719626895
HE-HC,3.8705993738889755e-4,0.12873812663307652
HE-HC,9.847691751596214e-5,0.0900760041019034
HE-HC,4.076031354137506e-6,0.03924110480912575
HE-HC,2.038015677068753e-4,0.1088991486186048
HE-HC,3.6879931692236157e-4,0.1271250435056645
HE-HC,5.797746998125188e-4,0.14305151397406235
HE-HC,4.0923354795540564e-5,0.07163190712536603
HE-HC,5.0216706282974076e-5,0.07556064769810993
HE-HC,5.706443895792508e-6,0.042841820921771384
HE-HC,8.641186470771513e-6,0.04774044633211979
HE-HC,2.9184384495624542e-5,0.06558418046310031
HE-HC,5.461882014544258e-5,0.07723558715096504
HE-HC,0.00648757454449942,0.26862348371323724
HE-HC,0.007630330694945411,0.2802387347709605
HE-HC,1.253787244532697e-4,0.09593478664189965
HE-HC,4.713522657924612e-4,0.13552918320686003
HE-HC,1.7820409080289177e-4,0.10515160549092119
HE-HC,4.8129778229655674e-4,0.13626955815031305
HE-HC,0.0010649854722090475,0.16764689020273646
HE-HC,0.0020564393387894546,0.1990477036920733
HE-HC,0.0015027512396434157,0.18340590442666943
HE-HC,3.1695219809773246e-4,0.12219797190514319
HE-HC,6.555888829994765e-4,0.14771275137228726
HE-HC,2.3054033339001733e-4,0.11245884161621625
HE-HC,0.0021190471803890065,0.20061134540851128
HE-HC,1.915734736444628e-4,0.10715518581047945
HE-HC,3.943967938263451e-4,0.1293704146797223
HE-HC,1.4999795383226023e-5,0.05512876252105834
HE-HC,1.6271517165716924e-4,0.10268631168197542
HE-HC,0.0018681266902283017,0.19412193118590076
HE-HC,3.32441117243455e-4,0.12372867610585622
HE-HC,2.703223994063994e-4,0.1172281340558779
HE-HC,7.662938945778511e-6,0.04626712957170135
HE-HC,0.0010441161916758636,0.16678346547801487
HE-HC,3.0765884661029894e-4,0.1212528248400648
HE-HC,1.1412887791585017e-5,0.05133464258689926
