Quadrant,education,month,N,initial_count,index,xy
HE-HC,PSE,2023-10-01,35951,35071,102.50919563171851,HE-HC PSE
HE-HC,PSE,2023-11-01,38887,35071,110.88078469390665,HE-HC PSE
HE-HC,PSE,2023-12-01,30846,35071,87.95300960907872,HE-HC PSE
HE-HC,PSE,2024-01-01,38636,35071,110.16509366713238,HE-HC PSE
HE-HC,PSE,2024-02-01,37235,35071,106.17034016708962,HE-HC PSE
HE-HC,PSE,2024-03-01,37173,35071,105.99355592940036,HE-HC PSE
HE-HC,PSE,2024-04-01,36224,35071,103.28761654928573,HE-HC PSE
HE-HC,PSE,2024-05-01,40345,35071,115.03806563827663,HE-HC PSE
HE-HC,PSE,2024-06-01,38467,35071,109.68321405149555,HE-HC PSE
HE-HC,PSE,2024-07-01,36659,35071,104.52795757178295,HE-HC PSE
HE-LC,No PSE,2018-01-01,22528,22528,100,HE-LC No PSE
HE-LC,No PSE,2018-02-01,20869,22528,92.6358309659091,HE-LC No PSE
HE-LC,No PSE,2018-03-01,24349,22528,108.08327414772727,HE-LC No PSE
HE-LC,No PSE,2018-04-01,25996,22528,115.39417613636364,HE-LC No PSE
HE-LC,No PSE,2018-05-01,25988,22528,115.35866477272727,HE-LC No PSE
HE-LC,No PSE,2018-06-01,24739,22528,109.814453125,HE-LC No PSE
HE-LC,No PSE,2018-07-01,26508,22528,117.66690340909092,HE-LC No PSE
HE-LC,No PSE,2018-08-01,28753,22528,127.63227982954545,HE-LC No PSE
HE-LC,No PSE,2018-09-01,27732,22528,123.10014204545455,HE-LC No PSE
HE-LC,No PSE,2018-10-01,27719,22528,123.04243607954545,HE-LC No PSE
HE-LC,No PSE,2018-11-01,24365,22528,108.154296875,HE-LC No PSE
HE-LC,No PSE,2018-12-01,16900,22528,75.01775568181817,HE-LC No PSE
HE-LC,No PSE,2019-01-01,24678,22528,109.54367897727273,HE-LC No PSE
HE-LC,No PSE,2019-02-01,22867,22528,101.50479403409092,HE-LC No PSE
HE-LC,No PSE,2019-03-01,26079,22528,115.76260653409092,HE-LC No PSE
HE-LC,No PSE,2019-04-01,25875,22528,114.85706676136364,HE-LC No PSE
HE-LC,No PSE,2019-05-01,26302,22528,116.75248579545455,HE-LC No PSE
HE-LC,No PSE,2019-06-01,22736,22528,100.92329545454545,HE-LC No PSE
HE-LC,No PSE,2019-07-01,26116,22528,115.92684659090908,HE-LC No PSE
HE-LC,No PSE,2019-08-01,28789,22528,127.79208096590908,HE-LC No PSE
HE-LC,No PSE,2019-09-01,24961,22528,110.79989346590908,HE-LC No PSE
HE-LC,No PSE,2019-10-01,29069,22528,129.0349786931818,HE-LC No PSE
HE-LC,No PSE,2019-11-01,24155,22528,107.22212357954545,HE-LC No PSE
HE-LC,No PSE,2019-12-01,15426,22528,68.47478693181817,HE-LC No PSE
HE-LC,No PSE,2020-01-01,21230,22528,94.23828125,HE-LC No PSE
HE-LC,No PSE,2020-02-01,18563,22528,82.39968039772727,HE-LC No PSE
HE-LC,No PSE,2020-03-01,14373,22528,63.80060369318182,HE-LC No PSE
HE-LC,No PSE,2020-04-01,8024,22528,35.61789772727273,HE-LC No PSE
